Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
11/10/2009,50.3782,13.343,6.8226,52.8927,5.5911,8.7627,1.0523,1.6674,1.5156,0.4958,5.8126,2.1796,19.231,1.6619,9.256,3.0874,18.6213,7.1175,4.1728,16.8533,20.4059,12.7426,6.5213,21.6928,33.7204,9.86,31.6064,58.6609,12.6296,37.6459,66.109,64.6531,80.3995,58.6973,62.3888,111.8011,92.2811,189.4629,348.8341,394.6757,418.4633,423.0851,434.7969,428.3141,406.758,415.0454,463.8084,485.3833,486.9601,584.4104,585.9501,633.578,642.7584,643.1734,646.5885,648.6869,672.9986,678.3198
11/11/2009,30.3496,7.3645,5.662,29.9202,3.6051,4.9382,0.6102,0.9395,0.8295,0.2709,3.3668,1.2439,11.1031,4.0806,7.4019,1.8212,10.2975,4.1025,3.0644,7.7851,11.3475,7.2333,4.4388,12.3437,19.323,8.0851,18.1538,36.5988,9.4803,22.3337,41.1516,76.8138,48.2211,64.1801,66.033,139.8237,92.6607,189.6939,348.9241,373.0101,402.2632,414.2989,440.9279,439.6829,418.735,427.177,446.7988,463.2216,463.5516,521.2931,524.5111,559.5997,564.7747,565.742,567.7395,568.1774,576.8684,588.6485
11/12/2009,44.0411,11.3058,6.7839,45.2028,5.0123,7.4797,0.9076,1.4232,1.2805,0.4186,5.0106,1.8679,16.557,5.5236,8.4412,2.5724,15.4699,6.0792,3.3176,8.7769,16.9671,10.643,5.2426,17.9578,28.4148,7.9913,26.2211,50.4508,9.5252,29.8915,54.9117,88.9413,63.7256,75.3959,78.3016,146.4152,95.0802,189.9018,347.8869,357.9401,379.9742,395.8362,445.2629,445.7537,431.8678,439.5916,465.8172,489.4216,490.6494,565.0014,568.0761,612.2832,619.8944,619.8039,621.6473,622.3035,633.3766,641.9466
11/13/2009,51.1223,12.976,8.2265,52.0425,5.8721,8.6071,1.0481,1.6378,1.4678,0.4799,5.7859,2.1536,19.1112,6.5473,10.3594,3.0035,17.8342,7.0279,4.1294,10.8618,19.5742,12.3136,6.3777,20.8373,32.8726,10.179,30.4863,59.2866,12.0906,35.3216,64.9675,99.7129,75.6926,87.5014,90.8306,143.5172,105.4909,190.003,333.9548,356.7031,362.5743,374.5522,445.4471,450.5717,443.7915,456.5569,487.423,514.8551,515.9824,605.1293,609.6464,661.7467,670.8343,671.0221,673.5033,674.9018,688.7623,700.2299
11/14/2009,26.3645,6.3327,5.0704,25.8057,3.1544,4.2594,0.528,0.8104,0.7127,0.2328,2.9121,1.0732,9.6001,6.5865,6.6747,1.5905,8.9128,3.5565,2.7855,6.9793,9.8043,6.2641,3.9816,10.7225,16.77,7.4137,15.7691,32.0861,8.6985,19.6401,36.2241,97.6165,42.4057,97.8731,99.4605,148.0399,123.0823,186.224,290.2301,345.5828,357.0388,361.3611,438.4759,448.5068,451.1433,461.7591,478.941,493.2452,494.2596,544.4088,548.4596,578.3506,582.6686,584.3562,586.3898,587.9404,595.3746,606.7445
11/15/2009,199.1845,52.4747,27.6078,208.2851,22.2027,34.4967,4.1508,6.5645,5.9564,1.9483,22.9256,8.5882,75.8372,11.1999,33.228,11.4779,71.034,27.7513,12.5664,34.6441,77.8022,48.4729,21.1209,81.3336,129.1648,28.1002,118.4414,222.8885,33.9571,129.9061,238.5461,74.4849,276.2031,97.2469,111.3128,179.1632,137.966,168.4194,237.6672,322.8175,348.4219,356.4641,432.2808,450.9003,461.0185,509.216,622.8729,732.0194,734.6628,1056.3948,1064.8569,1254.2232,1289.3214,1285.9281,1291.8665,1290.8664,1337.6635,1356.5943
11/16/2009,228.8829887,1121.433609,48.30020754,232.055018,533.3749609,387.2509873,122.0986523,14.06800677,36.12408917,242.5102644,39.79399581,61.09128705,126.2352736,45.61604435,206.5354516,21.02997883,82.55970533,77.68929367,33.56715892,200.4839316,116.8685085,79.32224313,40.17794227,124.2198923,105.7203066,83.8112135,148.5459177,20.34069195,119.2108679,142.7609269,293.8944569,101.0992554,528.3061883,99.77981276,76.25377318,298.840426,235.5011514,163.3720582,232.3546162,248.7317999,293.4029502,382.561972,422.0397739,439.4822628,472.9037488,531.7816401,311.5953646,838.7168783,870.9134811,988.1300763,1338.243933,1503.036642,1615.260458,2026.281887,2027.285078,2042.604625,1695.119162,1695.119162
11/17/2009,78.6708,20.8277,10.7608,82.5739,8.7441,13.6804,1.6426,2.6033,2.3679,0.7747,9.0719,3.4008,30.0069,2.6976,21.5606,5.9046,32.4687,11.607,12.7558,35.7084,35.6711,22.5614,17.471,40.129,58.3374,32.8073,58.6011,103.6553,44.449,74.9554,137.7184,109.5846,171.4996,100.931,106.8398,108.23,244.823,169.4652,163.4789,233.1604,247.4909,277.253,385.8802,416.9338,442.6733,480.5976,570.4218,610.3387,616.8379,827.2525,841.1849,939.2766,955.2397,963.3371,976.6758,990.5707,1054.7629,1100.5053
11/18/2009,52.16330793,406.2493531,12.37636268,52.83353314,234.6040483,249.5266803,29.8133535,3.039125253,9.573297789,153.7769332,9.483171758,13.92648565,26.64322954,77.86848867,112.7032717,4.641482946,18.98522562,17.21106979,7.663915515,111.3001099,26.88943012,17.69496471,8.642506323,28.53941962,22.81250218,19.31223673,58.78314111,54.34334703,29.3658462,67.29243337,78.54067138,67.94690588,200.5048366,87.4315958,118.0220276,161.6912155,215.5917952,202.9983478,206.8725459,204.6369529,177.3694939,25.55865829,24.91014408,396.9915224,418.3281291,454.3460989,201.846363,551.572135,544.8686528,439.7699838,587.734192,685.4112576,701.5281505,811.4092733,813.2991518,801.435101,631.3562818,631.3562818
11/19/2009,56.5742,14.9802,7.6722,59.3926,6.2805,9.8393,1.1818,1.8724,1.7018,0.5568,6.5269,2.4471,21.5934,1.8757,11.3217,3.5442,21.193,8.0381,5.1638,20.1333,23.2341,14.5168,7.8929,24.8961,38.2888,12.3298,36.2932,66.9277,16.1795,44.0623,77.1122,75.4078,94.8144,68.4249,72.5322,171.1219,161.9014,204.1927,203.0728,209.4531,180.411,112.8192,26.4183,28.486,386.6236,420.0076,477.8488,503.9827,507.2563,623.8806,627.7804,684.6859,695.261,696.7991,701.8124,705.9908,735.3563,745.1824
11/20/2009,65.94119966,440.451656,1.799580671,66.95917931,230.0734439,206.5113108,35.68875415,4.013423963,10.91054353,135.2683193,11.57460616,17.54994824,35.9847474,56.16218976,27.2054846,6.026962589,23.79066319,22.32341523,9.681835935,116.2537637,33.73914095,22.82597682,11.47058002,35.86233134,30.2607357,24.23567869,59.28674257,65.77103144,35.21707721,63.56141735,87.49556476,57.23660128,202.8987102,68.67632453,83.30397594,187.7095513,177.3620183,192.9092751,201.5407892,205.7553979,187.6257065,141.9228011,148.9694276,112.9687238,138.8770937,302.9160402,163.9955384,461.0960938,462.3764164,425.2870101,571.6614311,641.8503569,688.5683286,819.9324059,821.2977316,819.0022638,661.4733678,661.4733678
11/21/2009,70.2466,18.6002,9.5266,73.7458,7.7981,12.2174,1.4675,2.3248,2.1129,0.6912,8.1045,3.0385,26.8117,2.3293,12.5258,4.4237,26.3326,9.9776,6.5171,18.0237,28.8683,18.0566,9.9112,30.9414,47.6419,15.6579,45.106,83.4035,20.3729,53.6489,96.0857,63.3478,116.4108,57.6703,62.6975,158.3011,179.0962,177.5784,193.0016,206.1831,194.7108,170.5795,144.7897,134.1159,115.9445,146.9931,209.5063,250.5025,256.3617,400.1983,409.4927,485.7022,499.1663,502.3048,509.3815,515.5061,551.0933,572.7257
11/22/2009,72.0513,18.1538,11.8951,72.9521,8.323,12.0592,1.4722,2.2945,2.0518,0.6708,8.1265,3.022,26.8386,6.6574,15.0873,4.2459,24.9967,9.8698,6.0505,15.8149,27.4751,17.3368,9.241,29.3535,46.2383,15.1625,42.9883,84.0841,17.9313,50.3027,92.6061,75.0775,107.9498,63.0128,67.7245,174.2711,182.0618,177.9894,193.1761,208.3845,204.3909,197.841,150.3002,152.8276,124.637,150.236,194.6153,234.3728,235.1315,363.1756,369.6692,446.0414,458.6444,459.4881,463.1803,464.0582,483.4741,502.1816
11/23/2009,79.1666,20.0639,12.7936,80.5143,9.101,13.3154,1.6222,2.5335,2.2702,0.742,8.9546,3.3311,29.5753,10.1019,16.1347,4.6546,27.598,10.8781,6.4385,16.8046,30.2926,19.0663,9.9262,32.2627,50.9423,15.9229,47.1748,91.759,18.8963,54.7787,100.678,86.8149,117.1309,73.8614,79.0558,186.6187,181.3582,178.4164,193.2491,207.6937,208.0603,206.5031,157.3601,159.895,142.5567,163.1021,211.2906,253.8367,256.363,393.6927,400.2982,481.9817,495.6244,496.6047,500.8493,502.455,522.917,541.7949
